frase,label
"Lançar cobrança para João no valor de R$ 3399,97",Cobrança
Gerar cobrança automática de R$ 3108,Cobrança
Cobrar R$ 4554 à vista amanhã,Cobrança
"Passe a cobrança de R$ 9,50 para o cliente",Cobrança
Cobrar R$ 541 à vista amanhã,Cobrança
Cobrar R$ 2597 à vista amanhã,Cobrança
"Gerar cobrança automática de R$ 721,97",Cobrança
"Cobra o pagamento de R$ 1578,98 em 12 parcelas",Cobrança
"Passe a cobrança de R$ 2567,81 para o cliente",Cobrança
"Passe a cobrança de R$ 87,34 para o cliente",Cobrança
Passe a fatura de R$ 800 no cartão,Cobrança
"Emitir cobrança no valor de R$ 2115,12",Cobrança
Lançar cobrança para João no valor de R$ 2665,Cobrança
"Cobra o pagamento de R$ 2643,21 em 5 parcelas",Cobrança
Lançar cobrança para João no valor de R$ 3211,Cobrança
Passe a cobrança de R$ 4368 para o cliente,Cobrança
"Cobrar R$ 4503,39 à vista amanhã",Cobrança
Passe a cobrança de R$ 4586 para o cliente,Cobrança
Cobra o pagamento de R$ 92 em 1 parcelas,Cobrança
"Cobra R$ 88,23 pela manutenção",Cobrança
"Cobrar taxa de R$ 2397,68 pela entrega",Cobrança
Lançar cobrança para João no valor de R$ 2185,Cobrança
Cobrar o valor total de R$ 3607,Cobrança
Emitir cobrança no valor de R$ 3559,Cobrança
Cobra o valor de R$ 2563 em 2x,Cobrança
"Cobra o valor de R$ 4939,81 em 1x",Cobrança
"Passe a fatura de R$ 4903,55 no cartão",Cobrança
"Lançar cobrança para João no valor de R$ 1376,94",Cobrança
Cobrar taxa de R$ 3898 pela entrega,Cobrança
Lançar cobrança para João no valor de R$ 2698,Cobrança
"Cobra R$ 1145,61 pela manutenção",Cobrança
"Cobrar taxa de R$ 912,60 pela entrega",Cobrança
Cobra o valor de R$ 1901 em 4x,Cobrança
Cobra o valor de R$ 1062 em 2x,Cobrança
"Emitir cobrança no valor de R$ 2496,63",Cobrança
"Cobra o pagamento de R$ 1781,83 em 1 parcelas",Cobrança
"Cobrar a quantia de R$ 442,39 referente ao serviço",Cobrança
"Cobra R$ 1126,83 pela manutenção",Cobrança
Cobrar o valor total de R$ 4881,Cobrança
"Emitir cobrança no valor de R$ 3911,40",Cobrança
"Cobrar taxa de R$ 60,81 pela entrega",Cobrança
"Cobrar taxa de R$ 4783,53 pela entrega",Cobrança
"Cobra R$ 1697,53 pela manutenção",Cobrança
Emitir cobrança no valor de R$ 2901,Cobrança
Cobra R$ 3740 pela manutenção,Cobrança
Passe a cobrança de R$ 1171 para o cliente,Cobrança
"Cobrar R$ 4807,91 à vista amanhã",Cobrança
"Lançar cobrança para João no valor de R$ 445,44",Cobrança
"Lançar cobrança para João no valor de R$ 4369,79",Cobrança
Lançar cobrança para João no valor de R$ 3691,Cobrança
"Cobra R$ 2069,75 pela manutenção",Cobrança
"Cobrar o valor total de R$ 1915,44",Cobrança
Cobra o valor de R$ 1954 em 4x,Cobrança
"Cobrar o valor total de R$ 3782,12",Cobrança
Gerar cobrança automática de R$ 2450,Cobrança
"Cobrar R$ 1330,81 à vista amanhã",Cobrança
"Cobrar taxa de R$ 3027,22 pela entrega",Cobrança
"Cobra o pagamento de R$ 2838,39 em 5 parcelas",Cobrança
Cobrar taxa de R$ 4757 pela entrega,Cobrança
"Emitir cobrança no valor de R$ 271,28",Cobrança
Passe a cobrança de R$ 3269 para o cliente,Cobrança
"Passe a fatura de R$ 531,97 no cartão",Cobrança
"Emitir cobrança no valor de R$ 3513,67",Cobrança
"Passe a fatura de R$ 4885,82 no cartão",Cobrança
"Gerar cobrança automática de R$ 1831,81",Cobrança
"Cobrar taxa de R$ 1303,63 pela entrega",Cobrança
Cobrar R$ 3289 à vista amanhã,Cobrança
Emitir cobrança no valor de R$ 431,Cobrança
Cobra R$ 4492 pela manutenção,Cobrança
Cobra o valor de R$ 3890 em 9x,Cobrança
Emitir cobrança no valor de R$ 3920,Cobrança
"Cobrar R$ 2659,31 à vista amanhã",Cobrança
Cobra o valor de R$ 2738 em 2x,Cobrança
Cobra o pagamento de R$ 2213 em 3 parcelas,Cobrança
Cobra R$ 879 pela manutenção,Cobrança
"Cobrar R$ 1049,85 à vista amanhã",Cobrança
Lançar cobrança para João no valor de R$ 4924,Cobrança
Emitir cobrança no valor de R$ 479,Cobrança
"Cobra o valor de R$ 2701,17 em 6x",Cobrança
"Passe a cobrança de R$ 2411,94 para o cliente",Cobrança
Cobrar o valor total de R$ 3248,Cobrança
Cobrar a quantia de R$ 4437 referente ao serviço,Cobrança
"Cobrar taxa de R$ 3467,50 pela entrega",Cobrança
Gerar cobrança automática de R$ 709,Cobrança
Cobrar R$ 77 à vista amanhã,Cobrança
"Gerar cobrança automática de R$ 2625,37",Cobrança
"Lançar cobrança para João no valor de R$ 640,82",Cobrança
Passe a cobrança de R$ 3705 para o cliente,Cobrança
